id,name, text, timestap, username
3.65E+17,Dunya Patel,"Pak, China experts discuss Economic Corridor http://dlvr.it/3mCQjqÂ ",2013-08-06T14:23:11,DunyaPatel
3.65E+17,Beenish,"dt: Pak, China experts discuss Economic Corridor",2013-08-06T15:11:30,beeafz
3.65E+17,Nihao-salam,"Pakistan-China economic corridor to promote trade in region: Pak Envoy

Beijing, Aug 06: Pakistan's Ambassador... http://fb.me/2sGTHsYT5Â ",2013-08-06T16:29:08,pakistanchina
3.65E+17,Islamabad,"[@DunyaTV] Pak, China experts discuss Economic Corridor http://goo.gl/fb/2C4IVÂ  #Islamabad",2013-08-06T17:34:34,Islamabad
3.65E+17,worldeconomytimes,"Pak, China experts discuss opportunities, challenges and economic corridor - http://www.worldeconomytimes.com/business_news/pak-china-experts-discuss-opportunities-challenges-and-economic-corridor/Â â€¦",2013-08-07T04:23:07,worldeconomytim
3.65E+17,Pakistan State Times,"Scholars From China, Pak Discuss Economic Corridor
http://www.pstimes.com/2013/08/07/scholars-from-china-pak-discuss-economic-corridor/Â â€¦
#Karachi #Lahore #Islamabad #Pakistan #Economy",2013-08-07T08:38:54,PakStateTimes
3.65E+17,Hamza Arshad,"Scholars discuss challenges for Pak, China economic corridor http://lnkd.in/mh-8T2Â ",2013-08-07T09:23:54,writers1234
3.67E+17,Javed Mahmood,"Scholars discuss challenges for Pak, China economic corridor | Pak Banker http://fb.me/6qEces0exÂ ",2013-08-11T18:24:02,jchoudhry63
3.69E+17,Meet China,#China Pak PM approves China economic corridor with country: Pakistan Prime Minister Nawaz... http://bit.ly/14TZyGvÂ  via @bignewsnetwork,2013-08-17T05:16:26,MeetChina
3.69E+17,Meet China,Pak PM approves China economic corridor with country: Pakistan Prime Minister Nawaz Sharif ... http://bit.ly/1adOmZsÂ  #HK #Herald #China,2013-08-17T06:11:22,MeetChina
3.69E+17,Adeel Hassan Zaidi,"Boosting trade: #Pak-#China economic corridor plan gets premierâ€™s go-ahead
#PTI #PMLN
http://tribune.com.pk/story/591372/boosting-trade-pak-china-economic-corridor-plan-gets-premiers-go-ahead/Â â€¦ via @etribune",2013-08-17T07:00:16,adzaidi2
3.69E+17,Chinese 247,Pak PM approves China economic corridor with country Pakistan Prime Minister Nawaz http://bit.ly/14R1PFiÂ  #Chinese247,2013-08-17T07:16:27,Chinese247
3.69E+17,The Asia Zone,Beijing: Pak PM approves China economic corridor with country: Pakistan Prime Minister Nawaz Sharif reportedly... http://bit.ly/14n72ylÂ ,2013-08-17T07:39:11,shelby_shettler
3.69E+17,india vision,Pak PM approves China economic corridor with country http://dlvr.it/3pyh2yÂ ,2013-08-17T09:06:05,indiavisioncom
3.69E+17,Flag of China,Pak PM approves China economic corridor with country (china national news): Share With Friends:  ... http://bit.ly/1ae9zlTÂ  #China #News,2013-08-17T09:19:18,FlagOfChina
3.69E+17,Shahwaqar,"MNS is very excited about economic corridor inb/w Pak & China,he called it ""Game Changer"".Project having cost $18b, 2b completed in 5 years",2013-08-19T16:41:09,SShahwaqar
3.70E+17,Pahic Colombo,Pak- China Economic Corridor is future of country & will connect Pak with China & Central Asia.External Publicity Wing,2013-08-20T07:21:40,PahicColombo
3.70E+17,CLAWS,Implications of China-Pak Economic Corridor http://www.claws.in/Implications-of-China-Pak-Economic-Corridor-R-S-N-Singh.htmlÂ â€¦,2013-08-22T04:57:20,CLAWSDelhi
3.72E+17,Shahwaqar,http://articles.economictimes.indiatimes.com/2013-08-24/news/41443950_1_gas-pipeline-gwadar-port-iran-pakistanÂ â€¦ Pak China Economic Corridor will constitute of road & railway track along with gas pipe line from Iran to China.,2013-08-26T11:46:59,SShahwaqar
3.72E+17,Dunya News,#Islamabad: Pak-#China joint committee meets to discuss economic corridor #Pakistan #Dunyatv,2013-08-27T09:50:01,DunyaNews
3.72E+17,Outlook Magazine,"Pak, China Discuss Strategic Economic Corridor Project | http://news.outlookindia.com/item.aspx?808225Â â€¦ | Outlook Wires",2013-08-27T11:30:26,Outlookindia
3.72E+17,Raman Awasthi,"Pak, China Discuss Strategic Economic Corridor Project http://goo.gl/fb/EtbddÂ ",2013-08-27T12:19:29,ramanawasthi
3.72E+17,Doordarshan News,"#Pak, #China discuss strategic economic corridor project that envisages construction of a 200 km-long tunnel through the rugged PoK region",2013-08-27T16:19:03,DDNewsLive
3.72E+17,Friends of Congress,"#Pak, #China discuss strategic economic corridor project that envisages construction of a 200 km-long tunnel through the rugged PoK region",2013-08-27T16:19:50,friendscongress
3.73E+17,NippyNews,Kashmir Times - India - Pak China discuss strategic economic corridor project - http://www.kashmirtimes.com/newsdet.aspx?q=21924Â â€¦,2013-08-28T01:15:04,nippynews
3.73E+17,Josep,"Pak, China discuss strategic economic corridor project - Kashmir Times http://www.kashmirtimes.com/newsdet.aspx?q=21924#.Uh32pH9itpo.twitterÂ â€¦",2013-08-28T13:10:00,JosepEgypt
3.73E+17,PML - Nawaz,"Pak - China Economic Corridor , What we promise , we delivered ! http://fb.me/2StiClVUTÂ ",2013-08-28T18:11:47,PMLNfollowers
3.73E+17,Pakistani Community,#pakistani #uk Pakistani PM Meets Chinese Delegation on China-Pak Economic Corridor - http://CRIENGLISH.comÂ  http://ow.ly/2zsEgwÂ ,2013-08-28T21:04:15,PakistaniUK
3.73E+17,NippyNews,Kashmir Times - India -  Pak China discuss strategic economic corridor project - http://www.kashmirtimes.com/newsdet.aspx?q=21924Â â€¦,2013-08-28T21:15:08,nippynews
3.73E+17,NippyNews,Kashmir Times - India -  Pak China discuss strategic economic corridor project - http://www.kashmirtimes.com/newsdet.aspx?q=21924Â â€¦,2013-08-29T04:00:04,nippynews
3.73E+17,Munawar Hasan Ch.,"#Kashgar-#Kashmir-#Gwadar (Pak-#China Economic) Corridor: Formal discussion starts on ambitious trade and energy link
http://www.greaterkashmir.com/news/2013/Aug/29/pak-china-begin-discussions-on-ambitious-project-73.aspÂ â€¦",2013-08-29T05:29:49,agri_info
3.73E+17,NippyNews,Kashmir Times - India -  Pak China discuss strategic economic corridor project - http://www.kashmirtimes.com/newsdet.aspx?q=21924Â â€¦,2013-08-29T13:00:06,nippynews
3.73E+17,Abdul Raziq Durrani,Pak China economic corridor Insha Allah if becomes a reality no more unemployment in Balochistan within next 5 years.,2013-08-30T15:18:20,RaziqDurrani
3.73E+17,Emal Pasarly,"#Pakistan's security & relations with #India #Afghanistan will play a key role in the proposed $18b #China Pak economic corridor,think-tank",2013-08-30T15:57:02,EmalPasarly
3.74E+17,Zubair Faridi,@ShkhRasheed pak china economic corridor,2013-08-30T19:56:50,Zubair_Faridi87
3.65E+17,Pakistan Today,CPEC will usher in new era of economy: Pak envoy http://www.pakistantoday.com.pk/?p=291064 ,2013-08-06T16:27:15,ePakistanToday
3.65E+17,Pakistan News,#News CPEC will usher in new era of economy: Pak envoy http://dlvr.it/3mF3r0 ,2013-08-06T16:34:03,NewsNationPK
3.65E+17,Usher News,CPEC will usher in new era of economy: Pak envoy - http://PakistanToday.com.pk ,2013-08-06T16:48:20,4UsherDaily
3.65E+17,Usher HQ,CPEC will usher in new era of economy: Pak envoy - http://PakistanToday.com.pk  http://dlvr.it/3mFGJS ,2013-08-06T16:53:02,U8HER
3.65E+17,SuheilSiddiqi,"More lies.
#CPEC will usher in new era of #economy: Pak envoy http://www.pakistantoday.com.pk/2013/08/06/news/profit/cpec-will-usher-in-new-era-of-economy-pak-envoy/ … via @epakistantoday",2013-08-06T17:28:30,SuheilS1
